span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename	filename_positive	filename_certain
65 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	65 año			65 años	65 anos	32282871_ES, 32294340_ES	32282871_ES, 32294340_ES	32282871_ES, 32294340_ES
63 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	63 año			63 años	63 anos	32601756_ES, 32639089_ES	32601756_ES, 32639089_ES	32601756_ES, 32639089_ES
6 de marzo de 2020	FECHAS	2	1.0	2	6 de marzo de 2020			6 de marzo de 2020	6 de marzo de 2020	32247016_ES, 32622819A_ES	32247016_ES, 32622819A_ES	32247016_ES, 32622819A_ES
6 de febrero	FECHAS	2	1.0	2	6 de febrero			6 de febrero	6 de febrero	32276139_ES, 32119083_ES	32276139_ES, 32119083_ES	32276139_ES, 32119083_ES
6 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	6 año			6 años	6 anos	32636116_ES, 32633439_ES	32636116_ES, 32633439_ES	32636116_ES, 32633439_ES
53 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	53 año			53 años	53 anos	32615155_ES, 32593478_ES	32615155_ES, 32593478_ES	32615155_ES, 32593478_ES
52 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	52 año			52 años	52 anos	32425356_ES, 32196627_ES	32425356_ES, 32196627_ES	32425356_ES, 32196627_ES
5 de febrero	FECHAS	2	1.0	2	5 de febrero			5 de febrero	5 de febrero	32207255_ES, 32161941_ES	32207255_ES, 32161941_ES	32207255_ES, 32161941_ES
5 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	5 año			5 años	5 anos	32640066_ES, 32583150A_ES	32640066_ES, 32583150A_ES	32640066_ES, 32583150A_ES
49 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	49 año			49 años	49 anos	32320556_ES, 32611761B_ES	32320556_ES, 32611761B_ES	32320556_ES, 32611761B_ES
44 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	44 año			44 años	44 anos	32292867_ES, 32276139_C_ES	32292867_ES, 32276139_C_ES	32292867_ES, 32276139_C_ES
43 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	43 año			43 años	43 anos	32364123_ES, 32267502_ES	32364123_ES, 32267502_ES	32364123_ES, 32267502_ES
42 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	42 año			42 años	42 anos	32247642_ES, 32617169_ES	32247642_ES, 32617169_ES	32247642_ES, 32617169_ES
36 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	36 año			36 años	36 anos	32423911_ES, 32554621_ES	32423911_ES, 32554621_ES	32423911_ES, 32554621_ES
34 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	34 año			34 años	34 anos	32161941_ES, 32266524_ES	32161941_ES, 32266524_ES	32161941_ES, 32266524_ES
30 de enero	FECHAS	2	1.0	2	30 de enero			30 de enero	30 de enero	32238024_ES, 32246917_ES	32238024_ES, 32246917_ES	32238024_ES, 32246917_ES
29 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	29 año			29 años	29 anos	32637327B_ES, 32653960_ES	32637327B_ES, 32653960_ES	32637327B_ES, 32653960_ES
29	FECHAS	2	1.0	2	29	264660002	C0450351	29	29	32651243_ES, 32277408_ES	32651243_ES, 32277408_ES	32651243_ES, 32277408_ES
27 de febrero	FECHAS	2	1.0	2	27 de febrero			27 de febrero	27 de febrero	32283294_ES, 32276139_B_ES	32283294_ES, 32276139_B_ES	32283294_ES, 32276139_B_ES
26 años	EDAD-SUJETO-ASISTENCIA	2	1.0	2	26 año			26 años	26 anos	32363336-B_ES, 32317275_ES	32363336-B_ES, 32317275_ES	32363336-B_ES, 32317275_ES
24 de marzo de 2020	FECHAS	2	1.0	2	24 de marzo de 2020			24 de marzo de 2020	24 de marzo de 2020	32638347A_ES, 32650881_ES	32638347A_ES, 32650881_ES	32638347A_ES, 32650881_ES
23 de marzo de 2020	FECHAS	2	1.0	2	23 de marzo de 2020			23 de marzo de 2020	23 de marzo de 2020	32631645_ES, 32594151_ES	32631645_ES, 32594151_ES	32631645_ES, 32594151_ES
23 de marzo	FECHAS	2	1.0	2	23 de marzo			23 de marzo	23 de marzo	32612465A_ES, 32612465B_ES	32612465A_ES, 32612465B_ES	32612465A_ES, 32612465B_ES
22 de marzo	FECHAS	2	1.0	2	22 de marzo			22 de marzo	22 de marzo	32612465A_ES, 32612465B_ES	32612465A_ES, 32612465B_ES	32612465A_ES, 32612465B_ES
21 de abril	FECHAS	2	1.0	2	21 de abril			21 de abril	21 de abril	32638347B_ES, 32617903B_ES	32638347B_ES, 32617903B_ES	32638347B_ES, 32617903B_ES
2017	FECHAS	2	1.0	2	2017			2017	2017	32586778_ES, 32615155_ES	32586778_ES, 32615155_ES	32586778_ES, 32615155_ES
20 de marzo	FECHAS	2	1.0	2	20 de marzo			20 de marzo	20 de marzo	32612465C_ES, 32294258_ES	32612465C_ES, 32294258_ES	32612465C_ES, 32294258_ES
20 de febrero	FECHAS	2	1.0	2	20 de febrero			20 de febrero	20 de febrero	32165205_ES, 32276139_C_ES	32165205_ES, 32276139_C_ES	32165205_ES, 32276139_C_ES
2 de febrero de 2020	FECHAS	2	1.0	2	2 de febrero de 2020			2 de febrero de 2020	2 de febrero de 2020	32179908_ES, 32119083_ES	32179908_ES, 32119083_ES	32179908_ES, 32119083_ES
18 de febrero de 2020	FECHAS	2	1.0	2	18 de febrero de 2020			18 de febrero de 2020	18 de febrero de 2020	32161941_ES, 32165205_ES	32161941_ES, 32165205_ES	32161941_ES, 32165205_ES
17 de marzo	FECHAS	2	1.0	2	17 de marzo			17 de marzo	17 de marzo	32415334_ES, 32612465D_ES	32415334_ES, 32612465D_ES	32415334_ES, 32612465D_ES
16 de febrero	FECHAS	2	1.0	2	16 de febrero			16 de febrero	16 de febrero	32283294_ES, 32293714_ES	32283294_ES, 32293714_ES	32283294_ES, 32293714_ES
15 de mayo	FECHAS	2	1.0	2	15 de mayo			15 de mayo	15 de mayo	32653906_ES, 32638347C_ES	32653906_ES, 32638347C_ES	32653906_ES, 32638347C_ES
15 de marzo de 2020	FECHAS	2	1.0	2	15 de marzo de 2020			15 de marzo de 2020	15 de marzo de 2020	32267140_ES, 32588185_ES	32267140_ES, 32588185_ES	32267140_ES, 32588185_ES
14 de marzo	FECHAS	2	1.0	2	14 de marzo			14 de marzo	14 de marzo	32612465B_ES, 32612465D_ES	32612465B_ES, 32612465D_ES	32612465B_ES, 32612465D_ES
12 de marzo	FECHAS	2	1.0	2	12 de marzo			12 de marzo	12 de marzo	32612465A_ES, 32612465B_ES	32612465A_ES, 32612465B_ES	32612465A_ES, 32612465B_ES
10 de marzo	FECHAS	2	1.0	2	10 de marzo			10 de marzo	10 de marzo	32612465A_ES, 32359711_ES	32612465A_ES, 32359711_ES	32612465A_ES, 32359711_ES
1 de febrero de 2020	FECHAS	2	1.0	2	1 de febrero de 2020			1 de febrero de 2020	1 de febrero de 2020	32232784_ES, 32359711_ES	32232784_ES, 32359711_ES	32232784_ES, 32359711_ES
zhejiang	TERRITORIO	1	0.5	1	zhejiang			Zhejiang	zhejiang	32359711_ES	32359711_ES	32359711_ES
yiyang	PROFESION	1	0.5	1	yiyang			Yiyang	yiyang	32276139_B_ES	32276139_B_ES	32276139_B_ES
wenzhou	TERRITORIO	1	0.5	1	wenzhou			Wenzhou	wenzhou	32359711_ES	32359711_ES	32359711_ES
véneto	PAIS	1	0.5	1	véneto			Véneto	veneto	32205138_ES	32205138_ES	32205138_ES
utah	TERRITORIO	1	0.5	1	utah	422281007	C0042124	Utah	utah	32222713_ES	32222713_ES	32222713_ES
toscana	TERRITORIO	1	0.5	1	toscano			Toscana	toscana	32205138_ES	32205138_ES	32205138_ES
tirol del Sur	TERRITORIO	1	0.5	1	tirol de+el sur			Tirol del Sur	tirol del Sur	32215898_ES	32215898_ES	32215898_ES
singapur	PAIS	1	0.5	1	singapur	223593008	C0037173	Singapur	singapur	32639064_ES	32639064_ES	32639064_ES
septiembre de 2015	FECHAS	1	0.5	1	septiembre de 2015			septiembre de 2015	septiembre de 2015	32631645_ES	32631645_ES	32631645_ES
pulla	TERRITORIO	1	0.5	1	pulla			Pulla	pulla	32415334_ES	32415334_ES	32415334_ES
provincia de wuhan	TERRITORIO	1	0.5	1	provincia de wuhan			provincia de Wuhan	provincia de wuhan	32174057_ES	32174057_ES	32174057_ES
provincia de hunan	TERRITORIO	1	0.5	1	provincia de hunan			provincia de Hunan	provincia de hunan	32276139_ES	32276139_ES	32276139_ES
provincia de guangdong	TERRITORIO	1	0.5	1	provincia de guangdong			provincia de Guangdong	provincia de guangdong	32292904_ES	32292904_ES	32292904_ES
procedente de wuhan	TERRITORIO	1	0.5	1	procedente de wuhan			procedente de Wuhan	procedente de wuhan	32073161_ES	32073161_ES	32073161_ES
polonia	PAIS	1	0.5	1	polonia	223640004	C0032356	Polonia	polonia	32636116_ES	32636116_ES	32636116_ES
octubre de 2019	FECHAS	1	0.5	1	octubre de 2019			octubre de 2019	octubre de 2019	32606044_ES	32606044_ES	32606044_ES
noviembre de 2011	FECHAS	1	0.5	1	noviembre de 2011			noviembre de 2011	noviembre de 2011	32401344_ES	32401344_ES	32401344_ES
