span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename	filename_positive	filename_certain
4 de mayo de 2020	FECHAS	1	0.5	1	4 de mayo de 2020			4 de mayo de 2020	4 de mayo de 2020	32620682_ES	32620682_ES	32620682_ES
4 de mayo	FECHAS	1	0.5	1	4 de mayo			4 de mayo	4 de mayo	32638347A_ES	32638347A_ES	32638347A_ES
39 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	39 año			39 años	39 anos	32635747_ES	32635747_ES	32635747_ES
37 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	37 año			37 años	37 anos	32589314_ES	32589314_ES	32589314_ES
31 de enero de 2020	FECHAS	1	0.5	1	31 de enero de 2020			31 de enero de 2020	31 de enero de 2020	32179908_ES	32179908_ES	32179908_ES
31 de enero	FECHAS	1	0.5	1	31 de enero			31 de enero	31 de enero	32238024_ES	32238024_ES	32238024_ES
31 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	31 año			31 años	31 anos	32426200_ES	32426200_ES	32426200_ES
30 de marzo	FECHAS	1	0.5	1	30 de marzo			30 de marzo	30 de marzo	32612465D_ES	32612465D_ES	32612465D_ES
30 de abril de	FECHAS	1	0.5	1	30 de abril de			30 de abril de	30 de abril de	32639089_ES	32639089_ES	32639089_ES
30 de abril	FECHAS	1	0.5	1	30 de abril			30 de abril	30 de abril	32415334_ES	32415334_ES	32415334_ES
30 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	30 año			30 años	30 anos	32605712_ES	32605712_ES	32605712_ES
3 de marzo	FECHAS	1	0.5	1	3 de marzo			3 de marzo	3 de marzo	32276139_B_ES	32276139_B_ES	32276139_B_ES
3 de febrero de 2020	FECHAS	1	0.5	1	3 de febrero de 2020			3 de febrero de 2020	3 de febrero de 2020	32292053_ES	32292053_ES	32292053_ES
29 y 30 de enero	FECHAS	1	0.5	1	29 y 30 de enero			29 y 30 de enero	29 y 30 de enero	32073161_ES	32073161_ES	32073161_ES
29 de marzo	FECHAS	1	0.5	1	29 de marzo			29 de marzo	29 de marzo	32617903B_ES	32617903B_ES	32617903B_ES
29 de febrero y el 3 de marzo	FECHAS	1	0.5	1	29 de febrero y el 3 de marzo			29 de febrero y el 3 de marzo	29 de febrero y el 3 de marzo	32276139_ES	32276139_ES	32276139_ES
29 de abril de 2020	FECHAS	1	0.5	1	29 de abril de 2020			29 de abril de 2020	29 de abril de 2020	32620682_ES	32620682_ES	32620682_ES
28 de febrero de 2020	FECHAS	1	0.5	1	28 de febrero de 2020			28 de febrero de 2020	28 de febrero de 2020	32417987_ES	32417987_ES	32417987_ES
28 de enero	FECHAS	1	0.5	1	28 de enero			28 de enero	28 de enero	32283294_ES	32283294_ES	32283294_ES
28 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	28 año			28 años	28 anos	32294264_ES	32294264_ES	32294264_ES
27 de marzo de 2020	FECHAS	1	0.5	1	27 de marzo de 2020			27 de marzo de 2020	27 de marzo de 2020	32363336-B_ES	32363336-B_ES	32363336-B_ES
26 de febrero	FECHAS	1	0.5	1	26 de febrero			26 de febrero	26 de febrero	32294258_ES	32294258_ES	32294258_ES
26 de enero	FECHAS	1	0.5	1	26 de enero			26 de enero	26 de enero	32207255_ES	32207255_ES	32207255_ES
25 de marzo de 2020	FECHAS	1	0.5	1	25 de marzo de 2020			25 de marzo de 2020	25 de marzo de 2020	32363336_ES	32363336_ES	32363336_ES
25 de enero de 2020	FECHAS	1	0.5	1	25 de enero de 2020			25 de enero de 2020	25 de enero de 2020	32032497_ES	32032497_ES	32032497_ES
25 de abril de 2020	FECHAS	1	0.5	1	25 de abril de 2020			25 de abril de 2020	25 de abril de 2020	32607564_ES	32607564_ES	32607564_ES
25 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	25 año			25 años	25 anos	32611761A_ES	32611761A_ES	32611761A_ES
24 de febrero	FECHAS	1	0.5	1	24 de febrero			24 de febrero	24 de febrero	32283294_ES	32283294_ES	32283294_ES
24 de enero	FECHAS	1	0.5	1	24 de enero			24 de enero	24 de enero	32179908_ES	32179908_ES	32179908_ES
23 de mayo	FECHAS	1	0.5	1	23 de mayo			23 de mayo	23 de mayo	32638347C_ES	32638347C_ES	32638347C_ES
23 de enero de 2020	FECHAS	1	0.5	1	23 de enero de 2020			23 de enero de 2020	23 de enero de 2020	32246917_ES	32246917_ES	32246917_ES
23 de enero	FECHAS	1	0.5	1	23 de enero			23 de enero	23 de enero	32276139_ES	32276139_ES	32276139_ES
23 de diciembre	FECHAS	1	0.5	1	23 de diciembre			23 de diciembre	23 de diciembre	32294258_ES	32294258_ES	32294258_ES
22 de marzo de 2020	FECHAS	1	0.5	1	22 de marzo de 2020			22 de marzo de 2020	22 de marzo de 2020	32619798_ES	32619798_ES	32619798_ES
22 de enero	FECHAS	1	0.5	1	22 de enero			22 de enero	22 de enero	32085846_ES	32085846_ES	32085846_ES
21 de febrero	FECHAS	1	0.5	1	21 de febrero			21 de febrero	21 de febrero	32276139_B_ES	32276139_B_ES	32276139_B_ES
21 de enero	FECHAS	1	0.5	1	21 de enero			21 de enero	21 de enero	32085846_ES	32085846_ES	32085846_ES
2020	FECHAS	1	0.5	1	2020			2020	2020	32639089_ES	32639089_ES	32639089_ES
2019	FECHAS	1	0.5	1	2019			2019	2019	32644205_ES	32644205_ES	32644205_ES
2015	FECHAS	1	0.5	1	2015			2015	2015	32612435_ES	32612435_ES	32612435_ES
2013	FECHAS	1	0.5	1	2013			2013	2013	32644205_ES	32644205_ES	32644205_ES
2011	FECHAS	1	0.5	1	2011			2011	2011	32617903A_ES	32617903A_ES	32617903A_ES
2003	FECHAS	1	0.5	1	2003			2003	2003	32198834_ES	32198834_ES	32198834_ES
20 de marzo de 2020	FECHAS	1	0.5	1	20 de marzo de 2020			20 de marzo de 2020	20 de marzo de 2020	32250095_ES	32250095_ES	32250095_ES
20 de enero	FECHAS	1	0.5	1	20 de enero			20 de enero	20 de enero	32293714_ES	32293714_ES	32293714_ES
20 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	20 año			20 años	20 anos	32614251_ES	32614251_ES	32614251_ES
2 de marzo	FECHAS	1	0.5	1	2 de marzo			2 de marzo	2 de marzo	32276139_C_ES	32276139_C_ES	32276139_C_ES
2 de abril de 2020	FECHAS	1	0.5	1	2 de abril de 2020			2 de abril de 2020	2 de abril de 2020	32399694­­_ES	32399694­­_ES	32399694­­_ES
2 de abril	FECHAS	1	0.5	1	2 de abril			2 de abril	2 de abril	32606044_ES	32606044_ES	32606044_ES
1996	FECHAS	1	0.5	1	1996			1996	1996	32644205_ES	32644205_ES	32644205_ES
19 de mayo	FECHAS	1	0.5	1	19 de mayo			19 de mayo	19 de mayo	32638347B_ES	32638347B_ES	32638347B_ES
19 de enero	FECHAS	1	0.5	1	19 de enero			19 de enero	19 de enero	32246917_ES	32246917_ES	32246917_ES
19 de abril de 2020	FECHAS	1	0.5	1	19 de abril de 2020			19 de abril de 2020	19 de abril de 2020	32620682_ES	32620682_ES	32620682_ES
19 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	19 año			19 años	19 anos	32584431_ES	32584431_ES	32584431_ES
18 de marzo	FECHAS	1	0.5	1	18 de marzo			18 de marzo	18 de marzo	32612465A_ES	32612465A_ES	32612465A_ES
18 de enero	FECHAS	1	0.5	1	18 de enero			18 de enero	18 de enero	32073161_ES	32073161_ES	32073161_ES
18 de abril	FECHAS	1	0.5	1	18 de abril			18 de abril	18 de abril	32644205_ES	32644205_ES	32644205_ES
18 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	18 año			18 años	18 anos	32637266B_ES	32637266B_ES	32637266B_ES
17 de mayo	FECHAS	1	0.5	1	17 de mayo			17 de mayo	17 de mayo	32638347A_ES	32638347A_ES	32638347A_ES
17 de febrero de 2020	FECHAS	1	0.5	1	17 de febrero de 2020			17 de febrero de 2020	17 de febrero de 2020	32161941_ES	32161941_ES	32161941_ES
17 de febrero	FECHAS	1	0.5	1	17 de febrero			17 de febrero	17 de febrero	32119083_ES	32119083_ES	32119083_ES
16 de marzo	FECHAS	1	0.5	1	16 de marzo			16 de marzo	16 de marzo	32612465A_ES	32612465A_ES	32612465A_ES
16 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	16 año			16 años	16 anos	32639461_ES	32639461_ES	32639461_ES
15 de abril de 2020	FECHAS	1	0.5	1	15 de abril de 2020			15 de abril de 2020	15 de abril de 2020	32639089_ES	32639089_ES	32639089_ES
15 de abril	FECHAS	1	0.5	1	15 de abril			15 de abril	15 de abril	32415334_ES	32415334_ES	32415334_ES
15 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	15 año			15 años	15 anos	32653906_ES	32653906_ES	32653906_ES
14 de mayo	FECHAS	1	0.5	1	14 de mayo			14 de mayo	14 de mayo	32638347B_ES	32638347B_ES	32638347B_ES
14 de febrero de 2020	FECHAS	1	0.5	1	14 de febrero de 2020			14 de febrero de 2020	14 de febrero de 2020	32165205_ES	32165205_ES	32165205_ES
14 de febrero	FECHAS	1	0.5	1	14 de febrero			14 de febrero	14 de febrero	32165205_ES	32165205_ES	32165205_ES
14 de abril	FECHAS	1	0.5	1	14 de abril			14 de abril	14 de abril	32585767_ES	32585767_ES	32585767_ES
14 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	14 año			14 años	14 anos	32427161_ES	32427161_ES	32427161_ES
13 de noviembre de 2019	FECHAS	1	0.5	1	13 de noviembre de 2019			13 de noviembre de 2019	13 de noviembre de 2019	32292053_ES	32292053_ES	32292053_ES
13 de mayo de 2020	FECHAS	1	0.5	1	13 de mayo de 2020			13 de mayo de 2020	13 de mayo de 2020	32607564_ES	32607564_ES	32607564_ES
13 de marzo	FECHAS	1	0.5	1	13 de marzo			13 de marzo	13 de marzo	32294258_ES	32294258_ES	32294258_ES
13 de febrero	FECHAS	1	0.5	1	13 de febrero			13 de febrero	13 de febrero	32276139_C_ES	32276139_C_ES	32276139_C_ES
12 de mayo	FECHAS	1	0.5	1	12 de mayo			12 de mayo	12 de mayo	32638347A_ES	32638347A_ES	32638347A_ES
12 de febrero de 2020	FECHAS	1	0.5	1	12 de febrero de 2020			12 de febrero de 2020	12 de febrero de 2020	32245909_ES	32245909_ES	32245909_ES
12 de enero	FECHAS	1	0.5	1	12 de enero			12 de enero	12 de enero	32085846_ES	32085846_ES	32085846_ES
12 de covid	FECHAS	1	0.5	1	12 de covid			12 de covid	12 de covid	32637327B_ES	32637327B_ES	32637327B_ES
12 de abril de 2020	FECHAS	1	0.5	1	12 de abril de 2020			12 de abril de 2020	12 de abril de 2020	32641443_ES	32641443_ES	32641443_ES
11 de mayo	FECHAS	1	0.5	1	11 de mayo			11 de mayo	11 de mayo	32638347B_ES	32638347B_ES	32638347B_ES
11 de febrero	FECHAS	1	0.5	1	11 de febrero			11 de febrero	11 de febrero	32119083_ES	32119083_ES	32119083_ES
11 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	11 año			11 años	11 anos	32586676_ES	32586676_ES	32586676_ES
10 de mayo	FECHAS	1	0.5	1	10 de mayo			10 de mayo	10 de mayo	32638347A_ES	32638347A_ES	32638347A_ES
10 de enero de 2020	FECHAS	1	0.5	1	10 de enero de 2020			10 de enero de 2020	10 de enero de 2020	32276139_ES	32276139_ES	32276139_ES
1 de febrero	FECHAS	1	0.5	1	1 de febrero			1 de febrero	1 de febrero	32207255_ES	32207255_ES	32207255_ES
1 de enero de 2020	FECHAS	1	0.5	1	1 de enero de 2020			1 de enero de 2020	1 de enero de 2020	32032497_ES	32032497_ES	32032497_ES
1 de abril de 2020	FECHAS	1	0.5	1	1 de abril de 2020			1 de abril de 2020	1 de abril de 2020	32363336-B_ES	32363336-B_ES	32363336-B_ES
1 de abril	FECHAS	1	0.5	1	1 de abril			1 de abril	1 de abril	32359804_ES	32359804_ES	32359804_ES
