span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename
anticuerpos anticitoplasmicos de neutrofilos	PROTEINAS	1	0.5	1	anticuerpo anticitoplásmico de neutrófilo			anticuerpos anticitoplásmicos de neutrófilos	anticuerpos anticitoplásmicos de neutrófilos	32622819A_ES
anticuerpos anticitoplasmaticos de neutrofilos	PROTEINAS	1	0.5	1	anticuerpo anticitoplasmático de neutrófilo			anticuerpos anticitoplasmáticos de neutrófilos	anticuerpos anticitoplasmáticos de neutrófilos	32622819B_ES
anticuerpos anticardiolipinicos	PROTEINAS	1	0.5	1	anticuerpo anticardiolipínicos			anticuerpos anticardiolipínicos	anticuerpos anticardiolipínicos	32402687-B_ES
anticuerpos antiadn	PROTEINAS	1	0.5	1	anticuerpo antiadn			anticuerpos antiADN	anticuerpos antiadn	32617169_ES
anticuerpos antcd20	PROTEINAS	1	0.5	1	anticuerpo antcd20			anticuerpos ant-CD20	anticuerpos antcd20	32615155_ES
anticardiolipina	PROTEINAS	1	0.5	1	anticardiolipina			anticardiolipina	anticardiolipina	32427161_ES
anti2glucoproteina	PROTEINAS	1	0.5	1	antiβ2glucoproteína			anti-β2-glucoproteína	antiβ2glucoproteína	32427161_ES
anti sarscov2	PROTEINAS	1	0.5	1	anti sarscov2			Anti SARS-CoV-2	anti sarscov2	32415334_ES
anfifisina	PROTEINAS	1	0.5	1	anfifisina			anfifisina	anfifisina	32418288_ES
ampa12	PROTEINAS	1	0.5	1	ampa12			AMPA1/2	ampa12	32651243_ES
aminotransferasa	PROTEINAS	1	0.5	1	aminotransferasa	736212005, 130093006, 124393002	C0002594, C1152208, C4521068	aminotransferasa	aminotransferasa	32427161_ES
amilasa	PROTEINAS	1	0.5	1	amilasa	124554005, 387031005	C0002712, C0002712, C1442866	amilasa	amilasa	32653210_ES
alemania	PROTEINAS	1	0.5	1	alemania	223637004	C0017480	Alemania	alemania	32415334_ES
alaninoaminotransferasa	PROTEINAS	1	0.5	1	alaninoaminotransferasa	56935002	C0001899	alanino-aminotransferasa	alaninoaminotransferasa	32586752_ES
abipenem	PROTEINAS	1	0.5	1	abipenem			abipenem	abipenem	32161941_ES
Xa	PROTEINAS	1	0.5	1	xa			Xa	Xa	32589931_ES
TnI	PROTEINAS	1	0.5	1	tni			TnI	TnI	32275347_ES
T totales	PROTEINAS	1	0.5	1	T total			T totales	T totales	32292053_ES
Ri	PROTEINAS	1	0.5	1	ri			Ri	Ri	32418288_ES
PCT	PROTEINAS	1	0.5	1	PCT			PCT	PCT	32119083_ES
N	PROTEINAS	1	0.5	1	N			N	N	32073161_ES
L	PROTEINAS	1	0.5	1	μl			μL	μL	32607564_ES
Kit	PROTEINAS	1	0.5	1	kit			Kit	Kit	32636116_ES
IgG de VCH	PROTEINAS	1	0.5	1	igg de VCH			IgG de VCH	IgG de VCH	32589314_ES
IL6	PROTEINAS	1	0.5	1	IL6			IL6	IL6	32638347A_ES
IFN B	PROTEINAS	1	0.5	1	IFN B			IFN B	IFN B	3229222_ES
Hu	PROTEINAS	1	0.5	1	hu			Hu	Hu	32418288_ES
GPT	PROTEINAS	1	0.5	1	GPT			GPT	GPT	32588185_ES
GOT	PROTEINAS	1	0.5	1	GOT			GOT	GOT	32588185_ES
ENA	PROTEINAS	1	0.5	1	ENA			ENA	ENA	32588475_ES
CT 	PROTEINAS	1	0.5	1	CT ≤			CT ≤	CT ≤	32073161_ES
CT	PROTEINAS	1	0.5	1	CT			CT	CT	32427645_ES
CPK	PROTEINAS	1	0.5	1	CPK			CPK	CPK	32635747_ES
CDC	PROTEINAS	1	0.5	1	CDC			CDC	CDC	32073161_ES
CD8	PROTEINAS	1	0.5	1	CD8			CD8	CD8	32179908_ES
CD3	PROTEINAS	1	0.5	1	CD3			CD3	CD3	32267502_ES
C1q	PROTEINAS	1	0.5	1	C1q			C1q	C1q	32585767_ES
BC	PROTEINAS	1	0.5	1	BC			B-C	BC	32584431_ES
ADA	PROTEINAS	1	0.5	1	ADA			ADA	ADA	32283294_ES
2M	PROTEINAS	1	0.5	1	β2M			β2M	β2M	32418288_ES
2540l	PROTEINAS	1	0.5	1	2540 μl			2540/μL	2540μl	32423738_ES
108h	PROTEINAS	1	0.5	1	108 h			108/h	108h	32622819B_ES
