span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename
proteinas de la fase aguda	PROTEINAS	2	1.0	2	proteína de el fase agudo			proteínas de la fase aguda	proteínas de la fase aguda	32427161_ES, 32198834_ES
prohormona nterminal del peptido	PROTEINAS	2	1.0	2	prohormona nterminal de+el péptido			prohormona N-terminal del péptido	prohormona nterminal del péptido	32616174_ES, 32556106_ES
pncnt	PROTEINAS	1	0.5	2	pncnt			PNCNT	pncnt	32277408_ES
microglobulina	PROTEINAS	1	0.5	2	microglobulina			microglobulina	microglobulina	32418288_ES
lgi1	PROTEINAS	2	1.0	2	lgi1			LGI1	lgi1	32651243_ES, 32418288_ES
interferon 	PROTEINAS	2	1.0	2	interferón ß			interferón ß	interferón ß	32073161_ES, 32198834_ES
inmunoglobulina M	PROTEINAS	2	1.0	2	inmunoglobulina M			inmunoglobulina M	inmunoglobulina M	32586958_ES, 32402687-B_ES
inmunoglobulina G	PROTEINAS	2	1.0	2	inmunoglobulina G			inmunoglobulina G	inmunoglobulina G	32586958_ES, 32402687-B_ES
hidroxicloroquina	PROTEINAS	2	1.0	2	hidroxicloroquina	373540008	C0020336	hidroxicloroquina	hidroxicloroquina	32612465D_ES, 32427774_ES
gababr	PROTEINAS	2	1.0	2	gababr			GABABR	gababr	32651243_ES, 32418288_ES
factor antinuclear	PROTEINAS	1	0.5	2	factor antinuclear	45530001	C0003243	factor antinuclear	factor antinuclear	32588475_ES
euroimmun	PROTEINAS	2	1.0	2	euroimmun			Euroimmun	euroimmun	32415334_ES, 32651243_ES
citocinas	PROTEINAS	2	1.0	2	citocinas			citocinas	citocinas	32247642_ES, 32612435_ES
cd4cd8	PROTEINAS	2	1.0	2	cd4cd8			CD4+/CD8	cd4cd8	32412848_ES, 32607564_ES
caspr2	PROTEINAS	2	1.0	2	caspr2			CASPR2	caspr2	32651243_ES, 32418288_ES
asat	PROTEINAS	1	0.5	2	asat			ASAT	asat	32635747_ES
anticuerpos de covid19	PROTEINAS	2	1.0	2	anticuerpo de covid19			anticuerpos de COVID-19	anticuerpos de covid19	32583150A_ES, 32583150B_ES
anticuerpos citoplasmaticos antineutrofilicos	PROTEINAS	2	1.0	2	anticuerpo citoplasmático antineutrófilo			anticuerpos citoplasmáticos antineutrofílicos	anticuerpos citoplasmáticos antineutrofílicos	32292867_ES, 32588475_ES
anticuerpos antigbm	PROTEINAS	2	1.0	2	anticuerpo antigbm			anticuerpos anti-GBM	anticuerpos antigbm	32622819B_ES, 32622819A_ES
anticuerpos antigangliosidos	PROTEINAS	2	1.0	2	anticuerpo antigangliósido			anticuerpos antigangliósidos	anticuerpos antigangliósidos	32399694­­_ES, 32588185_ES
anticoagulante lupico	PROTEINAS	1	0.5	2	anticoagulante lúpico			anticoagulante lúpico	anticoagulante lúpico	32402687-B_ES
anca	PROTEINAS	2	1.0	2	anca			ANCA	anca	32622819B_ES, 32622819A_ES
ampar	PROTEINAS	2	1.0	2	ampar			AMPAR	ampar	32651243_ES, 32418288_ES
alat	PROTEINAS	1	0.5	2	alat			ALAT	alat	32635747_ES
alaninatransaminasa	PROTEINAS	2	1.0	2	alaninatransaminasa			alanina-transaminasa	alaninatransaminasa	32605766_ES, 32611659_ES
alanina	PROTEINAS	2	1.0	2	alanina	58753009	C0001898	alanina	alanina	32427161_ES, 32636116_ES
TSH	PROTEINAS	2	1.0	2	TSH			TSH	TSH	32653960_ES, 32586752_ES
IgG de sarscov2	PROTEINAS	2	1.0	2	igg de sarscov2			IgG de SARS-CoV-2	IgG de sarscov2	32636116_ES, 32633439_ES
IgG antisarscov2	PROTEINAS	1	0.5	2	igg antisarscov2			IgG anti-SARS-CoV-2	IgG antisarscov2	32415334_ES
Ig G	PROTEINAS	1	0.5	2	ig G			Ig G	Ig G	32427645_ES
Ig A	PROTEINAS	1	0.5	2	ig A			Ig A	Ig A	32427645_ES
Hb	PROTEINAS	2	1.0	2	hb			Hb	Hb	32594151_ES, 32590204_ES
FA	PROTEINAS	1	0.5	2	FA			FA	FA	32651243_ES
BNP	PROTEINAS	2	1.0	2	BNP			BNP	BNP	32607304_Es, 32639461_ES
ANA	PROTEINAS	2	1.0	2	ANA			ANA	ANA	32622819B_ES, 32622819A_ES
ACE	PROTEINAS	1	0.5	2	ACE			ACE	ACE	32606044_ES
vih1	PROTEINAS	1	0.5	1	vih1			VIH-1	vih1	32607564_ES
vasopresion	PROTEINAS	1	0.5	1	vasopresión			vasopresión	vasopresión	32222713_ES
vasopresina	PROTEINAS	1	0.5	1	vasopresina	77671006, 71338005	C1705480, C1705480	vasopresina	vasopresina	32622823_ES
troponinas	PROTEINAS	1	0.5	1	troponina	102680009	C0041199	troponinas	troponinas	3229222_ES
troponina T ultrasensible	PROTEINAS	1	0.5	1	troponina T ultrasensible			troponina T ultrasensible	troponina T ultrasensible	32267502_ES
troponina T de alta	PROTEINAS	1	0.5	1	troponina T de alto			troponina T de alta	troponina T de alta	32427645_ES
troponina I ultrasensible	PROTEINAS	1	0.5	1	troponina I ultrasensible			troponina I ultrasensible	troponina I ultrasensible	32616174_ES
troponina I inicial	PROTEINAS	1	0.5	1	troponina I inicial			troponina I inicial	troponina I inicial	32363351_ES
toxina de clostridium difficile	PROTEINAS	1	0.5	1	toxina de clostridium difficile	12671002	C0314765	toxina de Clostridium difficile	toxina de clostridium difficile	32554621_ES
sihad	PROTEINAS	1	0.5	1	sihad			SIHAD	sihad	32639064_ES
sarscov2 mediante rtpcr	PROTEINAS	1	0.5	1	sarscov2 mediante rtpcr			SARS-CoV-2 mediante RT-PCR	sarscov2 mediante rtpcr	32638347B_ES
sars	PROTEINAS	1	0.5	1	sars			SARS	sars	32427161_ES
rituximab	PROTEINAS	1	0.5	1	rituximab	386919002	C0393022	rituximab	rituximab	32198834_ES
receptor de il2 soluble	PROTEINAS	1	0.5	1	receptor de il2 soluble			receptor de IL-2 soluble	receptor de il2 soluble	32606044_ES
receptor de il1 recombinante	PROTEINAS	1	0.5	1	receptor de il1 recombinante			receptor de IL-1 recombinante	receptor de il1 recombinante	32427161_ES
receptor	PROTEINAS	1	0.5	1	receptor	116647005	C0597357	receptor	receptor	32198834_ES
rdpr	PROTEINAS	1	0.5	1	rdpr			RdPR	rdpr	32427645_ES
ravo	PROTEINAS	1	0.5	1	ravo			Ravo	ravo	32651243_ES
proteinorraquia	PROTEINAS	1	0.5	1	proteinorraquia			proteinorraquia	proteinorraquia	32292054_ES
proteinas totales	PROTEINAS	1	0.5	1	proteína total			proteínas totales	proteínas totales	32611659_ES
proteina creactiva262	PROTEINAS	1	0.5	1	proteína creactiva262			proteína C-reactiva=26,2	proteína creactiva262	32612435_ES
proteina creactiva disminuyeron	PROTEINAS	1	0.5	1	proteína creactiva disminuir			proteína C-reactiva disminuyeron	proteína creactiva disminuyeron	32208010_ES
proteina creactiva bajaron	PROTEINAS	1	0.5	1	proteína creactiva bajar			proteína C-reactiva bajaron	proteína creactiva bajaron	32622819B_ES
